ip,latitude,longitude,label
166.144.174.253,37.36883,-122.03635,solar
166.144.174.34,37.36883,-122.03635,solar
166.144.174.45,37.36883,-122.03635,solar
166.144.174.55,37.36883,-122.03635,solar
166.144.174.57,37.36883,-122.03635,solar
166.144.174.61,37.36883,-122.03635,solar
166.144.174.65,37.36883,-122.03635,solar
166.144.174.66,37.36883,-122.03635,solar
166.144.174.69,37.36883,-122.03635,solar
166.144.174.71,37.36883,-122.03635,solar
166.144.174.73,37.36883,-122.03635,solar
166.144.174.77,37.36883,-122.03635,solar
166.144.174.78,37.36883,-122.03635,solar
166.144.174.82,37.36883,-122.03635,solar
166.144.174.83,37.36883,-122.03635,solar
166.144.174.84,37.36883,-122.03635,solar
166.144.176.8,37.36883,-122.03635,solar
166.144.177.223,37.36883,-122.03635,solar
166.144.177.244,37.36883,-122.03635,solar
166.144.18.242,37.36883,-122.03635,solar
166.144.18.244,37.36883,-122.03635,solar
166.144.18.245,37.36883,-122.03635,solar
166.144.18.246,37.36883,-122.03635,solar
166.144.191.26,37.36883,-122.03635,solar
166.144.191.27,37.36883,-122.03635,solar
166.144.197.26,37.36883,-122.03635,solar
166.144.201.82,37.36883,-122.03635,solar
166.144.204.24,37.36883,-122.03635,solar
166.144.204.25,37.36883,-122.03635,solar
166.144.204.30,37.36883,-122.03635,solar
166.144.204.31,37.36883,-122.03635,solar
166.144.211.73,37.36883,-122.03635,solar
166.144.223.243,37.36883,-122.03635,solar
166.144.223.246,37.36883,-122.03635,solar
166.144.223.253,37.36883,-122.03635,solar
166.144.223.31,37.36883,-122.03635,solar
166.144.224.10,37.36883,-122.03635,solar
166.144.224.5,37.36883,-122.03635,solar
166.144.224.6,37.36883,-122.03635,solar
166.144.224.7,37.36883,-122.03635,solar
166.144.224.9,37.36883,-122.03635,solar
166.144.228.163,37.36883,-122.03635,solar
166.144.228.237,37.36883,-122.03635,solar
166.144.229.205,37.36883,-122.03635,solar
166.144.229.206,37.36883,-122.03635,solar
166.144.229.207,37.36883,-122.03635,solar
166.144.229.209,37.36883,-122.03635,solar
166.144.229.210,37.36883,-122.03635,solar
166.144.229.211,37.36883,-122.03635,solar
166.144.229.25,37.36883,-122.03635,solar
166.144.244.217,37.36883,-122.03635,solar
166.144.244.219,37.36883,-122.03635,solar
166.144.244.58,37.36883,-122.03635,solar
166.144.244.59,37.36883,-122.03635,solar
166.144.244.61,37.36883,-122.03635,solar
166.144.248.214,37.36883,-122.03635,solar
166.144.250.132,37.36883,-122.03635,solar
166.144.250.133,37.36883,-122.03635,solar
166.144.250.140,37.36883,-122.03635,solar
166.144.250.19,37.36883,-122.03635,solar
166.144.3.95,37.36883,-122.03635,solar
166.144.32.159,37.36883,-122.03635,solar
166.144.39.218,37.36883,-122.03635,solar
166.144.53.236,37.36883,-122.03635,solar
166.144.53.239,37.36883,-122.03635,solar
166.144.58.203,37.36883,-122.03635,solar
166.144.61.138,37.36883,-122.03635,solar
166.144.61.139,37.36883,-122.03635,solar
166.144.61.140,37.36883,-122.03635,solar
166.144.61.141,37.36883,-122.03635,solar
166.144.61.143,37.36883,-122.03635,solar
166.144.61.144,37.36883,-122.03635,solar
166.144.61.145,37.36883,-122.03635,solar
166.144.61.146,37.36883,-122.03635,solar
166.144.61.158,37.36883,-122.03635,solar
166.144.66.21,37.36883,-122.03635,solar
166.144.67.60,37.36883,-122.03635,solar
166.144.67.68,37.36883,-122.03635,solar
166.144.7.184,37.36883,-122.03635,solar
166.144.7.186,37.36883,-122.03635,solar
166.144.7.196,37.36883,-122.03635,solar
166.144.7.201,37.36883,-122.03635,solar
166.144.7.204,37.36883,-122.03635,solar
166.144.71.26,37.36883,-122.03635,solar
166.144.71.34,37.36883,-122.03635,solar
166.144.71.38,37.36883,-122.03635,solar
166.144.71.39,37.36883,-122.03635,solar
166.144.71.40,37.36883,-122.03635,solar
166.144.75.217,37.36883,-122.03635,solar
166.144.79.100,37.36883,-122.03635,solar
166.147.143.157,37.36883,-122.03635,solar
166.147.151.180,37.36883,-122.03635,solar
166.147.155.10,37.36883,-122.03635,solar
166.147.155.161,37.36883,-122.03635,solar
166.147.159.128,37.36883,-122.03635,solar
166.147.159.178,37.36883,-122.03635,solar
166.147.159.212,37.36883,-122.03635,solar
166.147.164.123,37.36883,-122.03635,solar
166.147.165.253,37.36883,-122.03635,solar
166.147.179.132,37.36883,-122.03635,solar
166.147.179.133,37.36883,-122.03635,solar
166.147.179.233,37.36883,-122.03635,solar
166.147.180.13,37.36883,-122.03635,solar
166.147.183.42,37.36883,-122.03635,solar
166.147.183.47,37.36883,-122.03635,solar
166.147.183.50,37.36883,-122.03635,solar
166.147.196.223,37.36883,-122.03635,solar
166.147.196.225,37.36883,-122.03635,solar
166.147.196.226,37.36883,-122.03635,solar
166.147.196.228,37.36883,-122.03635,solar
166.147.196.229,37.36883,-122.03635,solar
166.147.196.231,37.36883,-122.03635,solar
166.147.196.237,37.36883,-122.03635,solar
166.147.196.244,37.36883,-122.03635,solar
166.147.199.134,37.36883,-122.03635,solar
166.147.207.248,37.36883,-122.03635,solar
166.147.207.249,37.36883,-122.03635,solar
166.147.207.250,37.36883,-122.03635,solar
166.147.207.251,37.36883,-122.03635,solar
166.147.255.11,37.36883,-122.03635,solar
166.147.255.166,37.36883,-122.03635,solar
166.147.255.167,37.36883,-122.03635,solar
166.148.110.173,37.36883,-122.03635,solar
166.148.77.76,37.36883,-122.03635,solar
166.148.77.82,37.36883,-122.03635,solar
166.148.77.83,37.36883,-122.03635,solar
166.148.84.97,37.36883,-122.03635,solar
166.148.86.18,37.36883,-122.03635,solar
166.149.104.212,37.36883,-122.03635,solar
166.149.104.218,37.36883,-122.03635,solar
166.149.107.7,37.36883,-122.03635,solar
166.149.113.102,37.36883,-122.03635,solar
166.149.114.61,37.36883,-122.03635,solar
166.149.114.83,37.36883,-122.03635,solar
166.149.125.103,37.36883,-122.03635,solar
166.149.127.131,37.36883,-122.03635,solar
166.149.79.138,37.36883,-122.03635,solar
166.149.79.164,37.36883,-122.03635,solar
166.149.79.165,37.36883,-122.03635,solar
166.149.79.192,37.36883,-122.03635,solar
166.149.79.197,37.36883,-122.03635,solar
166.149.79.200,37.36883,-122.03635,solar
166.149.79.204,37.36883,-122.03635,solar
166.149.79.207,37.36883,-122.03635,solar
166.149.79.211,37.36883,-122.03635,solar
166.149.79.213,37.36883,-122.03635,solar
166.149.79.214,37.36883,-122.03635,solar
166.154.0.74,37.36883,-122.03635,solar
166.154.0.75,37.36883,-122.03635,solar
166.154.0.76,37.36883,-122.03635,solar
166.154.0.77,37.36883,-122.03635,solar
166.154.100.232,37.36883,-122.03635,solar
166.154.101.16,37.36883,-122.03635,solar
166.154.101.18,37.36883,-122.03635,solar
166.154.121.135,37.36883,-122.03635,solar
166.154.123.114,37.36883,-122.03635,solar
166.154.130.220,37.36883,-122.03635,solar
166.154.130.225,37.36883,-122.03635,solar
166.154.130.243,37.36883,-122.03635,solar
166.154.132.183,37.36883,-122.03635,solar
166.154.135.1,37.36883,-122.03635,solar
166.154.135.192,37.36883,-122.03635,solar
166.154.135.200,37.36883,-122.03635,solar
166.154.154.56,37.36883,-122.03635,solar
166.154.159.26,37.36883,-122.03635,solar
166.154.159.7,37.36883,-122.03635,solar
166.154.167.5,37.36883,-122.03635,solar
166.154.17.163,37.36883,-122.03635,solar
166.154.173.37,37.36883,-122.03635,solar
166.154.182.133,37.36883,-122.03635,solar
166.154.185.90,37.36883,-122.03635,solar
166.154.195.69,37.36883,-122.03635,solar
